ph,dissolved_oxygen,turbidity,conductivity,bod,nitrates,total_coliform,latitude,longitude,wqi
7.805,1.848,5.91,1450.001,2.131,11.183,3.128,29.617,75.188,51.53
6.489,7.031,15.671,597.155,2.959,13.15,0.259,34.248,75.06,59.15
5.286,12.82,18.702,424.429,1.713,9.991,1.055,13.799,96.731,61.01
6.399,8.003,5.546,403.027,8.355,0.738,0.372,13.047,89.947,67.38
6.463,7.472,1.593,713.759,8.098,12.285,1.445,20.283,92.271,61.82
8.283,2.371,3.361,1151.304,11.432,14.352,3.137,28.19,84.587,42.05
7.869,9.538,15.189,348.683,8.891,8.393,2.831,15.603,93.259,59.54
8.992,11.687,21.251,1078.479,1.099,15.17,3.061,8.537,86.719,53.0
7.125,5.945,1.22,80.667,10.669,4.617,2.746,22.613,95.439,67.87
5.538,11.083,18.38,657.453,10.421,4.503,1.365,33.828,76.159,52.59
8.21,13.538,8.599,1175.004,5.598,3.312,1.223,18.564,85.264,66.89
8.424,3.649,12.015,541.163,7.237,7.503,0.685,19.344,88.014,52.2
7.526,7.803,23.229,867.419,11.725,16.956,4.245,34.16,79.395,44.15
8.469,4.733,8.366,347.22,6.622,16.575,3.082,26.754,93.512,52.12
7.222,11.307,11.687,1125.893,10.911,7.718,0.933,27.418,96.414,62.61
7.352,8.509,0.441,125.805,1.455,11.823,0.886,23.193,82.319,85.68
6.924,9.25,2.132,1286.187,2.697,14.444,4.365,34.314,79.329,66.89
5.114,11.373,6.539,337.385,5.569,4.9,3.714,26.599,81.686,65.55
5.486,6.148,0.794,1317.877,7.225,3.446,3.297,32.166,92.729,52.5
5.141,12.896,15.821,561.167,9.887,19.445,2.034,26.883,86.719,41.23
7.864,7.929,10.717,1097.891,11.865,12.389,1.31,27.848,69.298,55.22
6.415,3.053,13.749,512.877,4.972,19.63,4.897,15.841,83.723,41.52
7.289,10.047,4.449,1363.572,1.045,6.821,3.986,16.194,68.502,70.68
9.084,11.312,7.469,233.624,9.713,14.09,1.509,29.141,90.578,62.69
6.122,5.118,16.629,308.854,7.45,4.53,4.238,16.011,77.521,45.37
6.847,12.143,24.136,764.894,2.783,5.298,3.795,23.195,81.688,60.64
8.4,12.78,1.355,168.811,6.191,10.287,1.485,14.733,91.162,74.95
6.03,4.6,22.271,334.171,9.037,6.46,2.133,30.059,69.347,38.49
5.346,13.786,14.464,1418.461,9.36,3.436,0.93,10.984,72.598,47.96
6.304,2.829,14.142,1465.91,6.246,5.331,0.555,30.395,79.541,41.43
5.725,3.626,12.557,595.576,4.01,0.811,3.614,24.274,74.668,52.33
9.184,3.395,1.828,1388.765,11.698,14.118,1.338,13.047,77.799,42.45
8.637,12.622,2.338,839.996,8.129,9.893,4.1,22.635,96.947,60.2
7.85,9.506,15.063,441.127,5.195,1.975,4.978,15.627,91.937,64.25
8.922,2.977,8.59,1068.478,3.725,3.517,0.383,16.734,93.633,55.86
8.617,6.724,22.94,1005.408,8.908,2.14,2.365,17.491,95.175,45.9
5.84,8.999,10.224,1484.232,3.285,12.291,4.01,9.71,77.887,57.54
9.017,2.085,3.668,434.319,2.475,1.975,3.945,34.621,76.615,59.23
7.427,12.471,17.896,1024.486,6.593,15.11,3.8,8.851,74.788,53.34
8.633,11.447,7.405,125.434,3.835,0.508,1.745,25.887,92.073,76.32
9.032,7.568,13.184,214.787,7.732,5.063,2.269,18.023,87.707,56.76
6.431,13.573,17.476,55.682,1.856,17.824,2.975,25.442,74.849,63.92
5.495,6.431,22.517,1499.218,8.032,14.399,4.87,17.619,78.933,24.61
6.026,13.793,19.826,1213.297,3.758,1.552,1.638,26.191,82.695,59.05
6.922,9.683,16.941,1190.748,0.503,16.44,4.616,27.689,83.316,57.96
8.681,9.251,17.023,789.103,1.96,9.911,1.347,26.645,93.773,66.02
8.873,3.157,23.654,485.097,11.237,16.951,4.945,11.077,79.036,28.69
5.031,12.465,7.466,269.333,10.475,12.055,3.351,25.736,94.347,55.21
7.298,6.557,0.128,462.778,3.187,13.668,2.318,15.56,80.8,74.83
6.878,3.109,6.872,595.158,9.451,19.871,3.067,8.778,89.645,44.27
5.999,1.164,5.525,1146.65,7.499,4.723,1.363,19.2,94.977,45.18
5.539,8.277,16.58,832.51,11.665,12.517,1.371,19.706,94.32,45.67
6.519,7.856,15.879,162.351,4.796,9.26,0.568,20.614,69.652,64.93
9.243,10.352,14.877,76.142,8.337,0.885,0.57,27.03,73.965,61.83
6.454,12.573,0.504,198.382,1.231,0.388,1.738,16.339,81.83,86.94
7.335,2.032,18.247,645.223,5.057,2.473,3.814,16.513,80.515,47.64
8.164,10.509,8.156,1403.13,11.584,13.017,3.04,9.635,86.586,54.9
6.636,3.436,16.66,974.234,6.698,11.387,0.513,26.544,95.397,41.68
9.373,12.156,13.959,1212.648,3.811,11.113,4.261,23.331,71.26,49.71
9.331,11.648,8.634,726.243,1.883,0.734,3.007,17.434,81.104,68.59
6.133,8.03,3.451,574.416,8.591,9.439,4.804,27.04,73.58,59.15
7.238,10.233,2.451,207.181,7.916,18.5,3.351,22.509,93.929,67.59
6.354,5.087,20.805,1320.103,4.8,8.012,0.876,20.67,95.973,43.51
6.282,7.125,22.968,1185.582,11.436,12.536,2.369,21.806,81.882,39.91
5.166,11.681,16.28,293.771,0.755,15.618,3.242,25.181,71.016,58.11
7.743,6.97,2.676,792.778,3.993,15.7,0.141,25.82,90.774,69.53
7.262,5.651,10.11,756.693,11.092,10.434,0.075,15.802,88.217,55.38
5.232,7.425,18.251,956.383,4.191,17.173,0.647,11.8,78.285,48.57
6.254,11.767,19.518,1421.971,3.401,7.888,1.258,12.229,93.735,59.28
9.087,5.358,3.044,890.669,6.644,17.785,2.148,25.264,96.299,52.0
6.078,3.259,0.101,833.315,9.974,4.881,2.437,31.568,84.178,52.85
5.652,10.256,17.832,122.968,1.686,5.676,0.69,19.056,84.406,68.14
7.203,11.738,8.979,141.216,11.345,1.157,3.367,12.577,76.628,73.16
9.435,2.308,6.437,321.653,9.643,15.932,2.981,28.428,84.951,40.1
6.089,4.118,0.421,97.083,2.584,8.399,1.472,30.477,80.75,70.73
8.025,2.846,13.553,1127.862,8.688,4.659,0.068,31.776,76.764,45.17
8.427,5.523,21.294,1098.829,4.927,4.713,0.388,24.384,69.948,49.02
6.069,6.855,23.945,247.282,5.126,18.038,1.958,31.24,75.329,50.38
8.277,10.735,14.187,1262.314,9.508,16.695,0.77,8.416,73.738,51.66
6.655,9.465,12.91,274.44,11.572,11.115,1.884,10.895,83.719,62.73
7.845,9.072,2.218,486.705,1.957,12.361,3.141,10.5,85.448,79.47
7.851,5.581,13.767,411.017,5.337,9.539,2.736,27.24,85.649,56.42
7.411,11.939,9.561,589.845,6.031,7.894,1.156,9.879,79.257,70.35
5.406,7.127,15.218,419.262,4.828,18.318,1.719,21.402,80.216,50.56
8.759,13.728,9.779,758.979,4.677,2.6,3.07,20.763,92.193,65.21
6.444,9.244,6.083,640.741,1.101,8.427,4.304,16.389,81.811,71.35
5.839,2.641,2.465,1480.526,8.384,6.957,3.766,31.501,96.645,42.28
5.183,9.79,7.941,131.093,5.516,10.013,2.767,12.602,80.749,61.91
7.659,5.226,2.506,256.163,2.74,9.207,1.811,17.516,86.838,74.49
8.049,9.922,4.505,126.598,9.884,10.426,1.825,28.903,69.461,70.88
5.075,1.905,24.685,957.47,9.729,2.884,4.397,8.821,86.947,21.8
7.304,3.273,11.158,129.038,6.094,10.312,0.196,26.17,92.691,61.26
6.019,12.125,13.344,1262.838,3.932,4.924,4.94,30.043,95.331,54.05
7.903,3.953,21.853,792.311,7.838,3.768,3.322,33.171,96.922,41.74
5.785,11.882,24.89,814.161,3.814,1.39,3.406,31.66,76.183,55.38
8.109,4.631,14.61,864.312,3.214,15.277,0.19,16.623,84.686,54.35
6.74,9.357,20.331,297.68,8.901,8.606,3.028,23.832,81.071,52.44
9.215,10.024,8.241,336.651,0.964,12.57,2.424,10.087,84.351,72.6
5.619,7.665,7.713,512.285,1.59,14.579,0.529,14.962,72.566,67.71
6.535,4.969,10.127,910.57,0.578,13.618,1.39,10.544,92.828,59.58
5.511,3.764,16.845,354.671,2.259,9.463,4.452,16.51,94.377,47.3
9.161,1.431,17.087,218.681,1.293,7.819,2.75,31.63,81.04,48.6
8.948,4.951,7.949,1456.669,11.952,7.582,2.067,17.374,76.132,42.85
6.161,9.491,3.417,81.874,3.821,12.837,0.363,23.171,72.084,75.45
7.97,13.198,15.847,1213.911,2.217,9.946,3.571,19.701,87.829,63.45
8.677,12.326,3.295,1192.651,3.271,16.998,3.514,20.391,77.055,63.96
7.498,10.959,14.504,480.96,11.265,17.507,3.07,34.178,94.377,56.65
7.383,11.25,17.366,246.659,6.482,3.494,2.551,15.996,87.459,65.57
6.088,9.645,17.545,261.162,4.695,2.811,2.169,24.938,86.725,63.43
5.419,4.384,18.861,1061.276,10.544,12.645,2.966,19.342,84.223,28.95
9.037,12.794,21.834,982.07,5.042,6.094,1.167,9.651,69.328,52.27
9.052,9.72,12.549,1184.981,4.353,0.47,4.706,21.212,95.026,55.73
7.849,8.286,18.283,1409.348,2.884,17.784,2.944,29.96,86.21,55.89
6.526,2.443,15.517,1053.295,4.845,4.615,1.556,10.666,96.828,46.79
6.571,6.812,4.747,275.985,4.142,18.593,2.248,9.879,83.583,63.68
8.267,6.985,0.74,402.992,8.289,14.377,4.028,12.148,88.593,60.39
9.037,12.239,7.185,1271.181,3.83,15.277,0.808,28.639,69.63,60.01
8.992,8.106,11.132,353.494,7.138,4.109,1.464,27.548,86.32,61.45
8.509,5.945,15.466,155.157,1.258,4.76,3.398,23.255,90.175,64.15
7.889,13.698,21.264,1069.756,2.7,10.473,1.577,20.642,90.577,59.94
5.379,2.439,4.987,633.663,5.185,3.525,3.963,31.985,90.333,51.02
5.727,6.493,3.226,1384.058,11.275,6.178,0.652,28.701,74.562,52.7
9.043,1.546,24.091,992.87,4.838,6.497,3.813,29.922,96.287,30.1
7.729,10.619,2.79,181.108,8.137,3.277,0.342,29.958,96.86,77.7
5.041,12.935,12.014,1424.392,3.434,4.183,0.063,25.353,70.192,61.26
5.457,4.64,14.681,424.908,1.961,15.792,4.491,20.366,95.157,44.25
7.986,12.158,13.58,538.958,1.173,3.427,2.907,31.346,76.394,73.69
5.023,4.799,2.242,633.278,4.012,0.666,1.759,33.002,87.989,62.91
5.724,12.84,1.52,124.275,2.313,12.624,1.163,8.643,77.805,77.81
7.469,10.802,2.727,769.947,2.501,19.522,3.084,9.392,96.065,75.35
8.114,11.464,14.681,228.812,9.249,6.691,2.545,33.886,70.944,65.03
7.934,1.234,13.654,631.407,0.682,2.461,4.958,15.483,82.435,54.13
6.009,13.517,5.92,558.529,6.915,11.451,4.916,31.581,80.413,57.79
8.205,10.447,15.981,1170.618,4.864,18.136,3.175,18.497,77.455,52.94
6.068,4.962,20.52,1214.597,6.325,15.703,2.214,11.216,86.72,33.18
6.464,11.782,1.135,272.449,6.973,12.488,2.456,10.172,71.801,72.02
8.359,4.66,12.503,581.499,4.104,6.37,3.412,12.226,88.783,56.24
7.923,12.346,17.264,591.362,3.894,10.883,0.508,14.747,96.437,68.31
8.822,2.464,6.383,269.545,8.934,1.916,1.642,21.19,91.332,54.03
7.959,10.148,7.763,1207.758,10.52,13.611,0.376,26.94,92.94,59.47
7.557,8.029,15.38,1075.481,2.715,14.529,0.367,34.633,78.429,62.69
5.422,2.255,22.459,326.054,1.623,19.304,0.979,19.921,77.422,40.49
6.655,4.145,20.267,581.747,10.825,5.282,2.426,21.991,82.994,40.89
6.193,1.161,14.62,203.417,4.524,0.467,3.924,22.089,69.326,47.59
6.098,7.094,18.283,960.9,6.84,10.958,2.427,22.565,95.415,46.79
9.379,4.916,9.184,225.989,4.635,14.165,1.677,21.979,72.17,53.92
6.769,8.779,16.06,1479.605,1.947,15.829,0.412,8.237,94.187,61.13
9.014,4.864,11.708,1181.989,7.277,3.955,2.751,8.047,70.424,44.67
7.84,4.899,4.829,615.846,6.539,5.309,1.356,10.637,91.856,64.7
8.577,10.662,17.573,888.918,2.834,10.301,3.075,10.742,72.407,58.32
7.262,1.626,13.956,1371.446,5.696,6.679,4.886,27.032,69.106,35.85
7.596,12.738,9.03,853.444,9.665,17.224,0.557,13.533,88.865,62.71
7.216,12.079,22.792,303.023,7.29,9.528,1.061,32.157,76.128,60.86
5.879,9.681,0.621,599.12,1.615,16.012,2.365,33.072,88.72,73.76
8.251,8.712,7.963,1272.56,6.802,11.654,4.843,34.349,84.097,53.52
6.263,12.6,1.516,984.109,8.581,15.484,3.859,33.355,71.155,55.58
5.109,3.409,19.187,993.55,9.616,6.72,4.491,15.341,95.032,27.44
7.905,2.027,17.582,1306.891,7.735,16.645,1.669,21.764,81.117,32.6
5.797,4.114,8.351,1346.261,2.256,5.564,4.96,12.737,89.299,48.81
9.232,11.33,16.924,1383.699,8.667,10.967,0.514,29.768,82.53,49.38
9.293,1.451,9.959,187.531,8.289,4.359,0.265,31.988,85.526,44.58
9.117,8.576,18.931,838.983,0.781,9.563,4.278,30.985,76.78,59.7
6.666,13.941,11.409,1123.739,5.235,6.432,4.636,19.701,73.81,59.04
5.07,12.124,10.366,1147.544,4.329,5.407,0.453,28.484,83.735,56.9
9.177,7.779,23.375,929.738,8.198,19.343,0.567,10.635,80.766,39.58
6.927,1.827,6.347,291.842,2.986,3.285,0.166,9.087,79.313,66.74
9.35,11.808,3.099,1206.26,7.295,15.768,0.523,28.337,87.504,57.01
9.336,8.787,14.655,1094.161,11.002,19.685,1.047,19.485,88.025,43.18
8.839,2.494,24.236,174.897,9.675,0.496,4.85,34.88,69.332,36.07
6.325,2.22,9.508,722.524,11.097,14.011,3.339,10.626,77.824,36.73
6.733,12.825,1.645,302.267,11.753,5.133,3.893,31.102,79.941,70.64
8.83,9.7,8.549,539.342,0.623,0.906,3.881,20.96,70.81,76.68
6.426,11.781,12.698,76.218,7.662,8.118,2.675,30.333,74.841,61.12
5.763,12.427,4.132,630.478,5.248,18.711,3.987,30.062,69.498,59.24
7.506,8.433,16.487,847.322,10.388,0.334,2.979,32.732,96.891,60.45
9.213,7.727,24.944,948.395,3.396,11.799,1.573,16.042,89.36,47.68
8.132,6.596,11.348,1012.061,11.782,10.078,2.806,33.645,70.536,48.52
7.565,5.12,8.933,1262.622,7.558,17.48,2.668,12.095,68.587,46.02
5.437,6.65,10.078,362.421,9.626,1.772,4.117,10.213,88.859,52.03
7.768,11.06,2.967,224.699,1.484,13.662,4.909,19.654,80.737,79.22
9.455,8.825,22.094,1284.729,2.61,13.634,2.055,30.365,90.817,46.66
5.63,12.603,10.429,277.089,9.222,13.415,3.817,20.782,94.781,53.61
7.332,6.764,9.743,1463.402,0.753,18.852,0.499,30.391,85.38,67.88
8.948,8.892,16.526,1271.68,9.894,16.479,3.884,27.702,73.426,39.31
8.333,9.207,11.107,776.271,0.66,0.935,1.857,13.655,90.684,73.86
8.137,8.692,16.241,1473.061,8.057,9.475,0.197,33.62,95.719,54.05
8.161,10.134,1.63,191.196,4.699,8.019,1.816,9.641,84.827,79.23
6.618,4.087,20.362,489.445,7.532,6.272,3.053,32.254,87.778,41.56
6.321,7.661,23.519,975.425,8.504,9.082,0.596,16.22,77.787,46.03
8.642,2.355,16.254,557.51,4.438,7.745,4.62,21.504,79.064,43.85
8.646,5.999,23.869,1396.14,1.742,8.703,0.388,19.404,89.305,47.62
8.902,7.34,3.871,145.158,1.301,19.587,4.65,12.64,94.905,67.03
9.11,9.479,11.988,846.647,7.273,1.864,3.536,17.67,86.241,60.41
7.301,13.357,15.085,906.756,6.488,18.452,1.649,13.209,90.906,58.82
7.257,8.808,14.585,996.456,9.035,9.657,1.954,13.505,72.977,57.36
8.592,10.667,10.096,420.716,6.362,12.512,3.704,13.051,74.147,62.51
7.925,7.581,8.518,578.621,5.358,16.621,3.007,21.203,83.429,61.29
8.159,9.243,3.258,1273.337,5.078,7.273,3.358,29.544,73.12,68.14
8.581,1.922,9.854,332.667,0.804,8.665,1.946,23.362,86.415,59.75
9.005,4.307,4.15,1248.958,4.359,8.249,2.439,32.117,76.458,53.53
6.521,5.704,18.386,865.85,11.724,7.557,4.949,25.187,90.954,39.45
6.69,7.142,5.3,1155.172,10.546,18.518,1.07,26.612,91.435,53.86
5.423,1.593,1.558,1084.731,4.288,16.596,2.089,26.025,81.45,42.44
7.602,2.82,13.854,350.892,7.26,2.269,1.459,20.135,73.244,54.5
5.162,4.599,14.921,874.778,10.244,2.252,3.826,26.612,86.756,35.56
7.095,13.63,21.811,1308.199,5.575,8.615,3.82,9.882,96.791,49.61
7.442,5.308,14.467,676.569,0.707,2.063,1.462,31.216,86.055,69.09
6.289,7.267,8.702,1451.557,1.357,12.42,0.407,29.001,69.037,62.09
7.659,3.549,20.095,705.712,6.37,2.959,0.057,14.621,68.502,50.55
5.137,8.94,13.553,257.039,11.649,10.495,2.137,28.737,77.29,51.91
5.168,4.649,2.074,614.68,8.472,0.244,2.052,8.341,73.678,54.01
8.702,3.691,14.19,1429.968,1.316,6.4,4.942,13.866,91.578,48.49
6.621,7.715,22.71,513.595,2.678,13.576,2.349,9.759,92.499,55.25
5.572,1.072,9.968,1308.742,9.37,9.732,1.282,29.066,75.5,33.41
7.35,1.1,7.479,1327.813,10.177,19.568,4.456,28.409,77.444,36.02
8.465,3.848,3.672,557.77,7.603,17.495,2.455,29.968,74.851,51.08
5.971,1.477,3.871,170.724,7.911,7.246,2.996,8.121,94.343,48.15
7.803,2.404,10.876,1100.609,0.826,1.005,0.478,21.533,82.577,62.93
5.384,5.405,14.932,501.693,10.028,16.928,1.915,27.031,87.028,40.89
5.233,11.434,2.107,1185.239,9.565,18.234,4.721,12.196,80.049,50.1
7.391,8.437,23.495,691.85,3.479,16.43,2.948,25.544,86.299,58.46
7.433,7.665,18.903,753.637,8.65,2.646,1.723,10.271,79.19,56.65
7.868,4.815,14.707,1177.969,2.971,19.959,3.128,12.896,77.851,49.98
8.267,13.113,20.728,604.427,0.964,5.246,4.552,20.847,86.4,66.33
9.391,6.161,2.097,692.535,2.813,14.512,1.37,25.646,85.141,61.73
7.323,2.132,11.973,595.476,2.554,18.17,2.526,11.938,76.512,51.6
6.453,9.022,15.789,582.644,4.384,4.79,4.793,13.001,72.331,60.67
8.578,2.48,20.733,812.623,5.312,18.174,0.862,13.52,78.689,38.3
6.219,5.488,19.608,1222.759,6.348,6.259,3.598,14.445,80.041,41.51
6.975,7.596,6.999,574.564,5.983,19.531,3.072,14.117,86.232,60.48
5.353,12.365,23.528,810.169,3.613,5.697,3.398,18.669,94.521,48.93
5.114,7.416,3.196,1022.555,0.835,19.073,1.756,25.652,69.049,62.05
9.332,10.129,21.891,440.687,7.459,1.166,1.569,19.827,75.066,52.42
8.762,13.907,24.276,452.408,5.051,14.215,3.421,28.951,73.618,49.53
8.132,2.709,4.511,1403.449,3.935,10.689,1.078,27.42,82.567,52.13
6.84,4.572,18.079,1099.125,10.47,9.61,2.098,11.416,80.461,40.67
5.78,6.129,1.103,886.921,9.088,4.548,0.941,9.319,89.142,60.19
5.704,6.484,10.195,989.194,10.364,14.141,0.042,31.704,75.03,47.15
6.126,6.343,12.955,92.484,6.192,3.897,4.85,10.155,85.24,56.16
7.472,12.799,14.558,946.249,2.006,11.102,2.159,12.005,93.632,70.71
8.216,10.282,23.405,788.788,8.507,5.14,4.847,8.598,94.41,45.94
7.971,8.903,16.839,841.337,2.87,19.117,0.702,24.965,95.805,63.85
6.26,5.022,12.084,571.165,5.574,0.67,2.937,23.724,90.425,55.51
9.297,11.709,20.261,168.137,1.248,4.075,1.005,34.646,94.274,68.9
8.321,13.416,23.768,330.342,9.991,4.922,3.95,31.947,74.801,52.04
7.495,11.676,0.649,1428.58,1.948,8.34,3.919,19.093,73.73,75.22
7.753,1.02,24.565,642.614,10.886,4.731,0.563,18.033,68.188,38.62
6.888,9.273,2.245,726.691,10.439,9.878,4.56,16.015,88.498,66.06
6.115,1.665,20.378,126.429,5.843,17.462,0.973,12.115,95.187,39.4
6.602,4.349,7.08,104.471,9.06,14.27,3.065,11.728,73.421,50.96
8.41,1.774,3.391,1089.913,7.624,11.641,4.928,11.572,86.471,38.45
5.065,8.849,11.052,830.237,9.735,1.871,4.412,11.081,89.647,47.45
5.522,9.926,16.135,787.624,5.466,13.91,4.783,14.494,94.901,49.9
5.207,2.488,9.586,402.531,9.537,3.412,1.713,16.28,86.759,41.5
5.183,5.99,1.459,1129.889,5.818,15.749,0.528,33.963,96.139,51.83
8.85,6.931,15.027,293.943,11.321,5.076,0.942,23.619,77.996,57.13
8.166,5.798,22.57,325.405,6.093,8.399,2.502,34.665,78.148,47.57
7.134,2.573,9.642,718.033,5.82,7.074,3.966,18.057,83.747,52.06
5.44,6.446,5.487,465.106,9.528,17.19,0.751,20.356,79.122,51.1
7.212,10.765,11.12,408.821,9.948,2.618,3.299,16.764,68.041,64.09
7.131,1.923,1.304,985.595,6.877,11.356,1.618,12.938,89.221,51.8
5.779,2.042,20.53,993.909,2.568,2.927,1.706,11.865,89.8,40.66
6.952,5.612,20.676,1245.55,5.879,14.125,3.31,33.517,89.662,41.2
